speaker,timestamp,words,tags,terms
Lottie Rowan,01:22:03,"Yeah. He says, oh, that's why I'm all shivaree-ing us. I hadn't seen her yet. That's when we were first married. So we were married the 2nd of April, and then all along the last of May, or somewhere along there, we'd be planting some of the early garden, you know. But we had to go up on the hill, down in there where the machines live and where our house was, why, it was too frosty to raise any garden down there. So we had to go up on the hill. And that was just little ways across to where Grandma, where the Johnsons lived.",agriculture;lcoh play,garden;shivaree
Frank Rowan,01:22:40,"The old man, he was in one of the many farmer's unions they organized in Troy in the early days, you know. Finally they broke up, paying out to each man so much. They handed him his share, you know. Well, he says, where is the principal? This here's the interest, here's the principal. That's the whole thing. Well, evidently there's no principal to this on the picture. He picks that up, this new one, the former Nala Grain Gourde now.",education,principal
Lottie Rowan,01:23:16,"It's a funny couple. So he'd go downtown in the car and, oh, maybe half an hour, an hour or so, see Grandma walk into town. And so after a while I might see him, didn't always see him come back. But she'd be with him, but she'd always be in the back seat. I don't know how many times I see him go into town in the car and then I see Grandma come down. I see her going around the hillside, the road up there. She'd walk to town.",,
Frank Rowan,01:23:50,"Now, see, he'd get down early to his store and she'd have chores to do. Like she'd tell him about the old days there. She says, I cut cordwood and Yonkson, he hauled him to Moscow for $2 a cord. She cut the wood there, that was when they were home setting, you see. She cut the cordwood at home and Yonkson, the young, lost $2 a cord.",lcoh places,moscow
Sam Schrager,01:24:12,I guess she was expected to do a lot of the heavy work. She was supposed to do a lot of the heavy work then.,,
Frank Rowan,01:24:17,"Oh, and did,.",,
Lottie Rowan,01:24:19,"Oh, there was women down there in my time down there that they made wood for the next load while their husband took the wood that they'd already made into town.",family,husband
Frank Rowan,01:24:35,"Well, you'd take Mrs. Hickman up here and she was a small woman. But Charlie said, well, if we don't harvest by then she'd cut 40 cordwood.",agriculture,harvest
Lottie Rowan,01:24:45,"Well, who was that, that the man and a boy or two, they had several kids, would take a load into town and her and some of the other kids, they'd go ahead and make another load while they were gone by the time they'd get back, why they'd either have a pre-near, have another load ready to go. Who was that?",,
Frank Rowan,01:25:06,"Well, that could be...",,
Lottie Rowan,01:25:08,Would that be Slantz or who was that?,,
Frank Rowan,01:25:10,"Tom Henrich, most likely. Or if it was a middle class...",,
Lottie Rowan,01:25:14,"No, they lived more down on Randall Flat.",lcoh places,randall flat
Frank Rowan,01:25:19,Yeah. Where do these people live? Where do those people live?,,
Lottie Rowan,01:25:23,I always thought they lived more down on Randall Flat.,lcoh places,randall flat
Frank Rowan,01:25:26,"Well, the little Henrichs did too.",,
Lottie Rowan,01:25:29,"Oh, Henrichs, up there where Tom died?",,
Frank Rowan,01:25:32,"No, oh God, no, Tom lived for years down on the flat, you know where he was.",,
Lottie Rowan,01:25:36,That must be who it was then.,,
Frank Rowan,01:25:37,"Yeah, that's about who it was. Tom lived for years.",,
Lottie Rowan,01:25:43,"Pretty good story about Mrs. Henrich. She was a hunter. She'd go hunting with her husband, the men. Well, he said, well, you stay up here in the open, and kind of, I guess, kind of head out, and he'd go down around and flesh out the deer up on top. So he did, and what was she doing? The deer came up and she didn't get it.",family;leisure,husband;hunting
Frank Rowan,01:26:12,"She sat down on the stump and got her cigarettes out, lit the stump, she was sitting there and zip, pulled the deer with her.",,
Lottie Rowan,01:26:22,"And then the old folks, she was sitting there,… got her smoke out of the smoke. and down there, they were all out brushing it, they'd run the deer out, and the deer got away.",,
Frank Rowan,01:26:34,"Yeah, what made me mad, she didn't even have the goddamn gun to it. Yeah, she was a woman that never smoked until she got to be 40 years of age, and then she went her two packs a day. She went after it.",,
Sam Schrager,01:26:54,"Did you ever hear of old man, Kynes, his name was, he was a guy who disappeared?",,
Frank Rowan,01:27:00,"Oh, yeah.",,
Lottie Rowan,01:27:02,"Well, he, they found him though.",,
Frank Rowan,01:27:07,"He died on the train going home, he was long time, yes, he's got a son here in town, hasn't he?",,
Lottie Rowan,01:27:13,"Yeah, I think that must be, I think that must be his son. Jerry Kynes, he was his father. And his daughter, Glen Pierce, they lived out on the ridge at the time. And I don't know whether he'd been out there too, his daughters, or whether he'd just come into town.",family,father
Frank Rowan,01:27:36,"He'd been to town, ...",,
Lottie Rowan,01:27:39,"Come into town for groceries and something, you know. And then as he's going back, he got tired, and he, what did he do, he built a fire, wasn't it?",,
Frank Rowan,01:27:52,"Yeah, he was ... tired.",,
Lottie Rowan,01:27:54,"And he'd sit down to rest a while and warm up that fire, and it burnt the tree off and it fell over. It was a snag. It fell over on him.",,
Frank Rowan,01:28:07,"A piece of it, you see.",,
Lottie Rowan,01:28:08,Killed him.,,
Sam Schrager,01:28:09,"A snag off the tree? Or did the whole tree, or was it the whole, no, the?",,
Frank Rowan,01:28:15,"Well, I don't suppose it was, it was a chunk off it.",,
Sam Schrager,01:28:17,"Yeah, probably a big branch of limb.",,
Lottie Rowan,01:28:19,"I have an idea, well, I always thought it was, and I'm leading, I'm leading the sense, so it was a, it was a snag itself. Yeah. A tree that didn't get very big, and then it got snagged off, you know, and it's just a...",,
Frank Rowan,01:28:31,"Had this gallon coal oil can along with him, and started to fire there, maybe went to sleep. Anyway, he didn't wake up.",,
Lottie Rowan,01:28:40,But they didn't...,,
Frank Rowan,01:28:41,"No, he was, he was lost for help a while.",,
Lottie Rowan,01:28:42,They didn't find him for quite a while.,,
Sam Schrager,01:28:44,"Oh, really? They went out, did they search for him?",,
Frank Rowan,01:28:46,"Oh, yeah.",,
Lottie Rowan,01:28:47,"Oh, yes. And somebody borrowed our snow shoes to, it was awful deep snow then, and they figured he was somewhere on the trail, had got overcome, you know, had a heart attack or something, and they were out on snow shoes and skis and everything, looking for him, so I don't know who it was. Now somebody got snow shoes from us and was helping look for him, and they found him all right.",clothing,shoes
Sam Schrager,01:29:18,"I heard that somebody had had a dream about that time, to point to where to find him. I don't know if there's any truth to that.",,
Frank Rowan,01:29:26,"Oh, let's see, the man that found him lives out there out of Troy today. The big son of all, the grand son of all hell, stepson, what was his name? Oh, yeah. Haberberg. Haberberg. Haberberg, up the Big Meadow is the man that found him. He had our, he came and got our skis, you know, he was doing some water looking.",,
Lottie Rowan,01:29:42,"Oh, skis, huh?",,
Frank Rowan,01:29:43,"Yeah, you could see Haberberg, it's about three miles out of Troy.",,
Sam Schrager,01:29:47,He lives out between Troy and Deary?,lcoh places,deary
Frank Rowan,01:29:50,No. He lives out on the back road.,,
Lottie Rowan,01:29:52,Big Meadow.,,
Sam Schrager,01:29:53,"Oh, Big Meadow,.",,
Lottie Rowan,01:29:54,Uh-huh.,,
Frank Rowan,01:29:57,Tubby Haberberg.,,
Sam Schrager,01:29:58,"What's his first name? Haberberg. What's his first name? You said, you just said?",,
Lottie Rowan,01:30:03,You said Tubby.,,
Frank Rowan,01:30:05,"Yeah, Tubby.",,
Lottie Rowan,01:30:06,"I don't know how that's, let's see.",,
Frank Rowan,01:30:09,"Yeah, well, he's only Haberberg there anyhow.",,
Lottie Rowan,01:30:11,"Yeah, he's, um.",,
Sam Schrager,01:30:13,"Is that, was Thorwald his first name? I seem to remember the name Thorwald, or Thorwald.",,
Lottie Rowan,01:30:19,"I think that's his name, Thorwald, or something like that. Thorwald. Tubby would only be a nickname, you know.",,
Frank Rowan,01:30:24,"Yeah, easier to say.",,
Lottie Rowan,01:30:25,I think that's what it is.,,
Frank Rowan,01:30:26,That could be Thorwald. There was three of them.,,
Lottie Rowan,01:30:30,"Well, what would come of that, what would come of that one that married Suzy Shepard there?",,
Frank Rowan,01:30:37,I guess he's still working at it.,,
Lottie Rowan,01:30:39,"There in town? Yeah. Oh, well, there's another Haberberg. But anyway, this is the Haberberg out in the country.",,
Frank Rowan,01:30:46,She lived in the second house in the corner of the street back at Jimmy Arnett's there. And he does there.,,
Lottie Rowan,01:30:52,I don't know what his name is. What is his name?,,
Frank Rowan,01:30:58,"I can't say what his name is. It might have been him by the time they found her, not the guy on the farm.",,
Sam Schrager,01:31:07,I think I've heard that this Haberberg guy did find her.,,
Frank Rowan,01:31:13,"Yeah, he came to me and wanted to get our skis. We had a pair of these Canadian webs, you know. And Josh knew about it and said he wanted to hunt for the old fellow. We let him take it. But I'm not sure which one was Tubby or Thorwald that done it.",canadian,canadian
Lottie Rowan,01:31:30,"Well, I don't know what their names are, which is which. There's one of them named Thorwald. They hadn't. And I said, well, before you laugh too much at somebody else, you better look at yourself.",,
Frank Rowan,01:31:46,"Well, you know well it was a dream to me, laughing at you eating me, and then we have to pay the grocery bill. There's nothing funny about that, the way you eat.",,
Sam Schrager,01:31:54,You really dreamt it. He was looking at you.,,
Frank Rowan,01:31:57,Yeah. She lost her appetite and found her heart.,,
Lottie Rowan,01:31:59,"I was sitting there at the table eating, and he got through eating. And he's standing there out from the table away. And he's just standing there looking at me eating, laughing. I said, what's so funny? He said, oh, it's the way you eat. And so he kept laughing. I said, say, did you ever, all the looking glasses around here, did you ever look at yourself when you eat? You better take a look.",,
Frank Rowan,01:32:23,Does Clarence Johnson batch on the farm out there?,,
Sam Schrager,01:32:26,"I don't know. Clarence Johnson, you mean? Oh, he's still there. Oh yeah, yeah, Clarence Johnson.",,
Frank Rowan,01:32:30,Yeah. He's there alone then.,,
Sam Schrager,01:32:32,"Yeah, yeah, he's there alone. But his son, you know, he's not very far.",,
Frank Rowan,01:32:35,Half a mile away.,,
Sam Schrager,01:32:36,"Yeah, in fact, the other morning when we came down the canyon there, the road was just, you know, full of snow and ice and junk until from Calvin Johnson's place down to Clarence's place, it was nice, level, plowed out. I'm sure he just plowed it down and plowed out his father's driveway.",family,father
Lottie Rowan,01:32:57,"Yeah. Yeah, there's a nice boy. And he's just like his dad. There's not a lazy bone in him, you know. They're just all business and not lazy. That Calvin is an awful nice boy. He's just like his dad.",,
Frank Rowan,01:33:13,"I went over there one morning to see him. He was one of the highway commissioners on the seat by some business on the road. And I got over there before five o'clock. I wanted to get over there and then get home, get breakfast, and get out to the road. I couldn't get to work at seven. He wasn't that good. Pretty soon his brother drove in. Then he says, I wonder what's going on. These horses ain't fed in their harness. He'd come in another ride where they'd work together all the time.",family,brother
Sam Schrager,01:33:42,This was Clarence.,,
Frank Rowan,01:33:44,"Yeah, Clarence and his brother Elmer.",family,brother
Lottie Rowan,01:33:46,It was Elmer who'd come in and want to know what was going on.,,
Frank Rowan,01:33:49,What was going on. Horses wasn't fed yet. Five o'clock in the morning before five.,,
Lottie Rowan,01:33:56,"Clarence's wife told me one time, she said, well, she was telling me how he killed a horse, worked on a horse and figured out how to kill it. She was just awful disgusted and mad at him for it. She'd been trying to get him to take care of his dog and slow down. And she says, oh, she says, him and Elmer both, she says, they're just crazy workers. She says, they don't know how much enough is enough. She says, Clarence is bad enough, but that Elmer, she says, he is impossible.",crime;family;lcoh flora & fauna,kill;wife;horse
Frank Rowan,01:34:29,And they're small men too.,,
Lottie Rowan,01:34:31,"Clarence was working over in the field. I like to be up there in the house where we lived. Then I'd look out across over on the down toward the canyon. And it was an awful hot and sultry day. And you know, there's a difference between a day of being just real hot and a day that's hot and you just can't hardly breathe. And he always had a whip. He was farming with horses at that time. And they were still with horses anyway. And he was going with a whip and hollering at them with a whip. And so he was going around around fields like that. And I thought, my goodness, the way you're crowding those horses, if you don't kill them, it's going to be funny, a day like this. So about a half an hour or so, I looked over there and I seen a big smoke over in the, just out of the field and over in the brush there, big fire going. Smoke coming out of there. And of course, I didn't know what was happening. I didn't see the horse fall or didn't know what it was. And found out after it's that he just crowded the horses and this horse could take them and he just dropped dead. So I suppose he went to the house then and maybe his brother just come down for some reason. But they drug that horse over into the brush and burned it over there. And oh, was his wife mad at him. Oh, she says, I am so mad at Clarence. I don't know what I could do to him. She says, that poor horse, just crowded and crowded. And she says, I just always thought him about the way he treats his animals, crowding them in the hot weather. And she says, this ought to be a lesson to him. But she says, oh, I don't suppose it will be. But they didn't farm with horses very long after that. They got a tractor.",agriculture;crime;family;lcoh flora & fauna,farming;tractor;kill;brother;wife;horse
Frank Rowan,01:36:42,"John, this is Ogden here. Could probably give you the name of the man and the victim that was shot at Avon years ago.",,
Sam Schrager,01:36:50,Ogden.,,
Frank Rowan,01:36:51,That family quarrel.,,
Sam Schrager,01:36:53,And where does she live?,,
Frank Rowan,01:36:55,"Right up the street here, about a half a block. And on that loft that's murdered, Charlie Hickman, on the loft that was murdered, his sisters. And his second wife lives up here on the corner.",family,wife
Lottie Rowan,01:37:18,"Oh, his first wife. No, Gertie is the second wife, isn't she?",family,wife
Frank Rowan,01:37:27,"Mrs. Hickman. She lived in that house. They lived there for, she lofted us on that.",,
Lottie Rowan,01:37:36,"Well, now I tell you, I don't think Mrs. Hickman would thank you for that, from what I've heard about you. She seems to kind of stay back. She doesn't want to talk.",,
Sam Schrager,01:37:47,"Well, I won't speak to her then. I don't have to.",,
Lottie Rowan,01:37:51,"Well, I tell you why. A friend of ours said that one time, well, she knows this woman and knew her mother and everything. And the mailman left at least one letter up at this woman's house. Maybe a stick left it there. And she looked at it and she says, and I knew, well, her name was on there, and she said there was a letter there from her mother. And she says, and I knew that she'd like to have that letter so she could get it and should have it. So she says, just a very short walk down, she took the letter down. And she went up the door and knocked and she says, Gertie, the mailman left a letter from your mother at my place. So I brought it down to you. And she said that she just reached out and took it and just opened the door a little bit and never asked her to come in. I don't know if she even said she thanked her for it, but she said she just act like she was afraid. I doubt she'd know much.",family,mother
Sam Schrager,01:39:01,"Well, what I was going to do is just ask you for that story that you heard about the loftus, about that killing. What was it? And that was right by where Glenn lives now, right in the old house.",,
Frank Rowan,01:39:14,"I think the old house is still there above it. I think Glenn still got it. And if it is, we came in the front door like there, and the door to another room there, and this room, this door there, was almost there when the old fellow was shot. And he said, there's the shot that the old building stopped in the door. But they turned it down, they shot portion down.",,
Sam Schrager,01:39:42,"Well, how did you hear that it happened? How did you hear that it happened?",,
Frank Rowan,01:39:48,"Well, I get it from her husband. He was there. He was bashing in this house. And her and the old Jim, as she called them, and she had a shack over to herself over there. They were separated. And he come home from town, he was drunk, and he was at Charlie's. And they come over and had some argument. She said, I'll get my gun, you son of a bitch, and I'll shoot you. And she went out and got the goddamn gun. And she come back and hollered she was coming. He took the light and walked over the door and said, Shoot you, old son of a bitch, and added a few more names to it. Is this good enough target for you? And he held the light for her. And my God, she let him have it. So then they brought him in. I think Charlie said they spread him out on the door. And he went to town and said they had a walk-in, you know, and said, tell the authorities. And he says, my God, we'll come back. She cooled down. She washed him all up, took a shot out of his face. You know, I know that's pretty good because he was right there. And he was a man that either keep his mouth shut or he wouldn't tell you a lie. He was mouth shut.",family,husband
Sam Schrager,01:41:05,Did this guy drink a lot? Did they fight a lot? Did they have a history of fighting? Did they have a history? Did the two of them fight much?,,
Frank Rowan,01:41:10,I imagine they did.,,
Lottie Rowan,01:41:18,"Yeah, it's almost sure they did. When it turns out like that, it's almost sure that it isn't the first time.",,
Frank Rowan,01:41:27,"A few years after that, I was working up in Camden and was building a mill of ... And I had the house rented there. Well, a man here from Troy, Ray Troy Peterson, this kid come to town, and Peterson was sort of a minister and an insurance man to boot. So he sent this kid up there and he says, you look at Frank Rowan, he says he'll furnish a bed for you. He knew I had a bedroom up there. Kid commended us for that. You, Frank Rowan? Yeah. Does it know me? Oh, I don't know. I was old Bill Loftus, my dad. Remember? When I shot him, there you are.",health;religion,insurance;minister
Lottie Rowan,01:42:15,"Say, turn that up to 70 and then keep your little fingers off of it. Well, thank you. I had to do it. It gets us all hot in here. Then you have to turn it down and then it gets cold. It isn't working right. I don't think it'd be like that. But just having to call the guy to do something about it.",,
Frank Rowan,01:42:42,"It cost $550. Boy, I'd give a couple hundred more if it was a price like the old one we had. Is that the name of the one we had? Huh? What's the name of the old one? Little? Yeah, Little. Yeah, JC Little. That wasn't Andy. JC Little Furnace.",,
Lottie Rowan,01:43:03,They were on the weekend.,,
Frank Rowan,01:43:04,It burned out and nobody ever took up the business again.,,
Sam Schrager,01:43:10,There was one more story about Mrs. Johnson that I remembered you telling. I think it was about Mrs. Johnson. She's the one that you were going to take to the dance that time?,leisure,dance
Frank Rowan,01:43:24,"Yeah, she was going home. I was working on the field about the road she was going home and talking about something. I don't know how they mentioned about the dance coming up. Well, she says, would you take me along to the dance, Johnson? Well, sure, as I'd be glad to. Well, I suppose I should wear a white dress. The only one I got is my nightgown. She was jolly.",leisure,dance
Lottie Rowan,01:43:53,"She made some kind of a cheese. And right off I said it was horrible. And I guess it was about her by the taste of it. The first time I was ever up to her I was like, she, I'm going to give me some cheese. I want me to taste that cheese. And so she could tell the way that I eat it. She wants to be so close that I wish she hadn't of. And I, well I tried to eat it, I'd say nothing about it. And she began to laugh. She said, yeah, you don't like it either. Nobody likes that cheese. It's a, what did she say, Scandinavian cheese or something. But she says, I didn't think you'd like it. I imagine that you would like it.",food_and_drink;lcoh swedish,cheese;scandinavian
Sam Schrager,01:44:41,"Good well-being, my wife. She's probably telling me, boy, we'd better get home before the roads freeze up on us, maybe.",family,wife
Frank Rowan,01:44:48,"It's just so icy today, isn't it?",,
Lottie Rowan,01:44:52,"Yes, yes, it's bad.",,
Frank Rowan,01:44:54,You wouldn't...,,
Lottie Rowan,01:44:55,"Yes, for you.",,
